CASE,STARTED,condition,time_min,attn_pass,effort_pass,distraction_pass,excluded,in_full_sample,in_quality_sample,bayes_1,bayes_2,bayes_3,bayes_total,bayes_prop,TP01_correct,TP02_correct,TP03_correct,TP04_correct,TP05_correct,accuracy
439.0,2026-01-05 21:47:54,treatment,17.283333333333335,True,True,True,False,True,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
441.0,2026-01-05 22:20:52,control,5.833333333333333,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
442.0,2026-01-05 22:29:30,control,34.8,True,True,True,False,True,True,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
443.0,2026-01-05 23:11:42,treatment,14.516666666666667,False,True,True,True,False,False,1.0,0.0,1.0,2.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0
444.0,2026-01-05 23:26:31,treatment,21.333333333333332,True,True,True,False,True,True,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
446.0,2026-01-06 00:13:25,control,9.733333333333333,True,False,True,True,False,False,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0
448.0,2026-01-06 00:35:51,control,20.4,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
449.0,2026-01-06 01:22:44,control,8.633333333333333,True,True,True,False,True,False,1.0,1.0,0.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,5.0
451.0,2026-01-06 02:02:23,control,11.933333333333334,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
452.0,2026-01-06 02:14:31,treatment,15.383333333333333,True,True,True,False,True,True,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,1.0,3.0
453.0,2026-01-06 02:35:32,control,13.85,True,True,True,False,True,False,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
455.0,2026-01-06 02:59:14,control,18.383333333333333,True,True,True,False,True,True,1.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,3.0
457.0,2026-01-06 03:27:18,control,21.983333333333334,True,True,True,False,True,True,1.0,1.0,0.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,5.0
459.0,2026-01-06 03:50:30,treatment,19.233333333333334,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
462.0,2026-01-06 05:17:25,treatment,17.716666666666665,True,True,True,False,True,True,0.0,1.0,1.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,5.0
